10459,ST.MARY OF ETON CHURCH,536683,184824,355,DE01
1046,SADLER'S WELLS THEATRE,531467,182843,31,C110
10460,HESA ROAD,510501,180922,25,P102
10462,THE GRAPES,510673,181129,208,P103
10464,FORTUNE GREEN,525100,185526,356,8B13
10465,WEST HAMPSTEAD POLICE STATION,525220,185397,128,8B12
10468,LEA BRIDGE ROAD / BAKERS ARMS,537871,188255,32,YD02
10469,LEA BRIDGE ROAD / BAKERS ARMS,537843,188198,220,YD02
1047,THE OLD VIC,531368,179740,143,4304
1048,THE OLD VIC,531345,179734,323,4304
1049,GUNNERSBURY STATION  ,519799,178464,81,NF07
1051,ALPHA CLOSE,527451,182506,313,0T05
1052,ROSSMORE ROAD,527604,182407,126,0T04
1054,DEAN STREET / CHINATOWN,529797,180925,237,0C06
1057,HOLBORN STATION ,530640,181536,252,8016
10580,MONTPELIER ROAD,517584,181651,153,QS08
1059,NAPIER PLACE,524584,179096,315,7901
106,SOUTHWARK TOWN HALL,533283,176714,269,3P06
1061,NORLAND SQUARE,524330,180094,69,7706
1062,HOLLAND PARK STATION ,524595,180195,244,7801
1063,EDITH GROVE,526132,177655,43,7F15
1064,FULHAM ROAD / CHELSEA & WESTMINSTER HOSP,526146,177729,140,7F03
1065,EDITH GROVE,526212,177722,228,7F15
1067,FULHAM ROAD / BEAUFORT STREET,526562,178085,42,7F17
1069,OLD CHURCH STREET,526724,178261,41,7C03
10690,SPUR ROAD / ORPINGTON WAR MEMORIAL,546166,165873,273,F707
10694,PRATTS BOTTOM / SEVENOAKS ROAD,547131,162667,186,F421
107,HYDE PARK CORNER STATION ,528274,179818,250,0J05
1070,OLD CHURCH STREET,526702,178215,221,7C03
10705,SEVENOAKS ROAD / ORPINGTON WAR MEMORIAL,546076,165793,11,F706
1071,ONSLOW SQUARE,526985,178620,322,7C05
10715,VILLAGE GREEN ROAD,552042,175069,74,EE11
10716,THE RISE,551968,175037,253,EE12
10717,STANHAM PLACE,552394,175129,84,EE10
10719,THE JOLLY FARMERS OPEN SPACE,552522,175146,244,EE09
1072,ONSLOW SQUARE,527006,178613,141,7C05
10720,MILL PLACE,552615,175256,27,EE09
10721,PERRY STREET,551584,176098,269,EE19
10722,PERRY STREET,551617,176107,89,EE19
10723,EVERSLEY CROSS,551316,176093,269,ED11
10724,EVERSLEY CROSS,551278,176101,89,ED11
10725,NORTHALL ROAD / MANOR WAY,550463,176129,274,ED08
10726,PARKSIDE AVENUE / MANOR WAY,550723,176098,90,ED09
10729,BRIDGE ROAD / NORTHEND ROAD,551712,176489,250,E105
1073,PENTON STREET,531073,183104,81,C007
1074,PENTON STREET / CHAPEL MARKET,531164,183107,258,C007
1075,GUILFORD STREET,530828,182245,323,8801
1076,GUILFORD STREET,530787,182322,143,8801
1077,KENTISH TOWN STATION  ,528990,185246,335,8K08
1078,KENTISH TOWN STATION  ,529012,185118,185,8K08
10794,COOMBE ROAD,532621,164939,171,HC28
10795,COOMBE ROAD,532608,164915,354,HC28
10797,BIRDHURST GARDENS,533054,164687,31,HE09
10798,BIRDHURST ROAD / SOUTH CROYDON STATION ,533041,164261,114,HE11
10799,BIRDHURST ROAD / SOUTH CROYDON STATION ,532948,164290,290,HE11
1080,NEWINGTON GREEN,532820,185381,14,CA02
10804,CARLTON ROAD,532947,163532,176,HE26
10806,TWIN BRIDGES BUSINESS PARK,532935,163608,303,HE25
10807,CARLTON ROAD,533012,163573,119,HE25
10808,CROHAM ROAD,532663,164229,344,HD10
1081,ALBION ROAD,532793,185469,126,CA02
10811,ELECTRIC HOUSE,532519,165679,333,HC12
10813,WHITGIFT CENTRE,532444,165831,335,HC11
10814,WHITGIFT CENTRE,532432,165928,155,HC11
10816,PURLEY WAY / WADDON STATION ,530973,164850,263,H901
10817,PURLEY WAY / WADDON STATION ,530956,164861,83,H901
1082,GREEN LANES,532855,185470,193,CA11
10820,PURLEY OAKS STATION ,532396,162905,207,H403
10821,PURLEY OAKS STATION ,532321,162781,27,H403
10824,PURLEY DOWNLANDS PRECINCT,531352,161707,227,H511
10825,CHRISTCHURCH ROAD / PURLEY HOSPITAL,531508,161865,48,H513
10828,COOMBE ROAD,532424,164816,3,HC20
10829,COOMBE ROAD,532415,164953,164,HC21
1083,LIVERPOOL ROAD,531119,185283,137,C702
10833,PASTEUR GARDENS,532570,192128,346,U502
10834,PASTEUR GARDENS,532599,192130,167,U502
10835,EMPIRE PARADE,532644,191812,353,U501
10836,EMPIRE PARADE,532674,191766,177,U501
10839,CHURCH HILL ROAD,523483,164970,323,JC08
1084,LIVERPOOL ROAD,531145,185230,319,C702
10840,CHURCH HILL ROAD,523534,164918,142,JC08
10852,PARK AVENUE,530550,190781,297,9712
10856,ALLIANCE ROAD,519612,182238,276,Q403
10860,SOUTHWOOD AVENUE,528783,187935,147,9109
